comments,sentiment
em định lấy honoz magic 6 pro  làm đt chính thấy tik tok mấy bài treo logo đột tử nên rén mong ah tư vấn ạ 😢😢😢😢,2
Đúng thật luôn . Mỗi lần mở vân tay cáu vđ luôn,0
"Xài còn ngon chán, ông CTY xài 6splus 7 năm rồi",2
ip15 thuờg làm máy phụ có ngon k a . máy chíh e dùg la 17promax,2
"Xem xong mới biết, không phải iPhone nào cũng đáng tiền! Cẩn thận chọn đời cũ mà lại hỏng nhanh thì tiền mất tật mang",0
ok,2
E đang dùng iphone 12  pro dùng hai ba năm tới ok k mn,2
Đùa chứ mới check giá iphone cũ tăng 1-2tr xong tới black friday cái giảm về giá ban đầu??? Làm vậy chi z ko muốn giảm đâu ai ép sale đâu,0
Anh Dương cho em hỏi trước bằng giá thì 16e < 15 nhưng bâyh săn sale 16e có 13tr2 thôi thì a đánh giá như thế nào ạ p/p ổn không ạ,2
"tôi vẫn dùng  7plus  vẫn chuyển khoản, lướt facebook, tiktok.zalo,, yutube mượt mà. nhược điểm nhanh hết pin..với tôi thấy nó vẫn đáp ứng được",2
"Mới mua ip 6s 128gb giá 1,3tr ở cửa hàng gần nhà. Thấy vẫn dùng đc. Nghe gọi ngân hàng xem youtube ngon lành. Mình cũng chỉ cần có thế :D",2
"có phải ai cũng có tiền như ông đâu? ông về các vùng quê xem mấy ông u50, u60, u70 xem họ dùng điện thoại gì?????",0
"Cái vân tay xử lý cực đơn giản, chỉ cần bạn dán 1 lớp băng dính trong lên vân tay là ok",2
Thời điểm hiện tại Iphone 13 có còn đáng mua ko anh. Em mới chuyển từ android qua ios nên muốn ưu tiên mua hàng mới ạ,2
"Em chào anh Dương và ekip ạ 
Anh Dương cho em hỏi thời điểm này mua s23 ultra có nên mua không ạ? Và hiện tại còn máy mới không ạ
Em cảm ơn anh chúc anh và ekip nhiều sức khỏe ạ",2
Mình vẫn dùng 8plus từ 2020 đến giờ fb mess lq ff setting thấp vẫn ổn còn tiktok quay vd là nóng rang,1
"Anh Dương Dê làm câu hỏi: ""Vì sao các flagship dòng Ultra của các hãng OPPO, Vivo, Xiaomi.... thường dùng chip Snapdragon hơn mà không phải là Dimensity?"" đi anh",0
"Nhà t 2 trường phái, t samsung còn vợ thì iphone nên mua cái mới là để lại cái cũ cho con xài. Bé lớn 6t xài ip8 plus của vợ để lại, còn gái nhỏ  4t hơn xài s20 5g 😂😂",2
"nên mua s25 ultra hay 16 promax đây ạ em phân vân quá, e thì chưa từng sử dụng iphone bao giờ nên đang nghiêng về s25 hơn ạ",1
A Dương cho hỏi thời điểm từ giờ đến tết thì lúc nào mua iPhone cũ 99% với giá tốt nhất ạ?,2
Em chào anh Dương ạ. Chúc anh và các anh em trong team nhiều sức khỏe ạ. SS A56 có ram 8gb và rom 128gb thì trong vòng 2 3 năm nữa liệu có đuối so với những điện thoại khác không ạ? Em muốn mua A56 để trải nghiệm nhưng em thích bản 12gb-256gb hơn ạ. Em xem trên shopee mall của samsung có bán bản 12gb nhưng yêu cầu chuyển khoản hết trước khi nhận hàng. Vậy theo anh em có nên mua không ạ? Mong anh tư vấn. Em cảm ơn ạ,1
"Cháu chào chú, cháu xin phép hỏi chú 2 câu. Cháu muốn mua điện thoại hàng xách tay thì nên mua ở cửa hàng nào ạ? Và điện thoại hàng xách tay nếu mang ra các cửa hàng như cellphone S hay thegioididong có đc sửa ko ạ?
Cháu cảm ơn chú, cháu chúc chú mạnh khỏe ạ.",1
Bỏ cái C củ xạc chả phải để bảo vệ môi trường đâu chiến lược kinh doanh của họ thôi,0
Mik thích nhất thanh toán mọi thứ trên face id cực tiện😊,2
GIỜ NHIỀU ĐỨA BỆNH SĨ VẪN MUA XONG RỒI BẢO NGHE GỌI BỀN VÀ KÊU ĐEM ANDROID CÙNG NĂM RA SO,0
Vẫn đang dùng 7plus máy phụ cùng với 16prm máy chính . Thay quả pin dung lượng cao dùng chạy mướt mườn mượt,2
"góc siêu quá đáng : anh Dương ơi cho em hỏi có con điện thoại tầm 15 triệu mà chơi game siêu tốt camera đủ dùng khung viền kim loại chắc chắn bền ,cập nhật lâu dài yên tâm dùng tốt 5 năm ít nhất 256 gb 512 gb thì quá tốt không bị lỗi 5g ở Việt Nam , không chậm thông báo mong anh tư vấn ạ",2
iPhone thì nên mua iPhone 13 trở lên,2
iPhone nào dùng chip A12 trở xuống thì nên bỏ nha tại vì không được lên iOS 26 = lạc hậu,0
Đang phấn đấu Note 10plus của mình mua 2020 thêm đc 2 năm nữa 😊,2
Thời điểm nào mua S24Ultral giá rẻ nhất vậy Anh Dương?,1
"Không có củ sạc thì cần hộp làm gì, nhét vào túi chống sốc thôi là được rồi",1
Ip17 thường thì nên mua cục sạc chính hãng 20w hay cục 35w nhỉ,1
"Anh tư vấn giúp e ip15 pro max với ip 17 nhu cầu sử dụng bình thường muốn sử dụng lâu dài 
Chúc anh và ekip nhiều sức khỏe",2
"Anh Dương hãy gợi ý những mẫu điện thoại từ 10tr - 15tr. Android, ưu tiên máy cũ vì công năng / tiền đáng hơn, công việc xây dựng. Ưu tiên camera đẹp, bộ nhớ 512gb, không trễ thông báo vì dùng Zalo rất nhiều, hỗ trợ thêm AI thì càng tốt vì cần viết mail báo cáo, check email nhiều. Tác vụ văn phòng. 
Cám ơn anh Dương. Gợi ý cửa hàng bán điện thoại cũ uy tín, ở HCM nhé anh
😘",2
Vân tay 7 plus cực kỳ ngon nha,2
"Mình toàn dùng tiền mặt,có tài khoản có rút sài tiền mặt😂",2
T,2
Dương ơi tầm này có nên mua 15prm k nhu cầu của mình chỉ dùng bthuong k chơi game,2
"Là người đang dùng iphone 7plus và đang cmt bằng 7plus thì xin đc phản biện như sau:
1. Vân tay chỉ khó nhận khi ướt ngón tay kiểu dính nước chứ ra mồ hôi tay nhận bình thường. 10 lần trượt 9 thì hơi quá.
2. Không có 5G, ok chuẩn
3. Pin đuối lắm chứ ko phải hơi đuối
4. App bank dùng vcb, tech, vib, bidv vẫn được bình thường chưa thấy có vde gì.

Tuy nhiên vẫn khuyên các bạn đừng mua 7,8 nữa. Mình dùng do nó vẫn còn chạy được và không có nhu cầu khác thôi chứ bảo mua bây giờ không thì không!",0
Được lên sóng rùi. Cảm ơn a nhé. Hihi,2
"Tôi uống cf cả ngày lẫn đêm 😂
Quen rồi chả thấy sao
Uống bò húc còn mất ngủ 😂",2
"Chú ơi tầm 12tr mua 15 thường 99% có ok ko ? Nhu cầu bình thường, chơi game nhẹ, máy ít nóng và nhỏ gọn. Cháu là sv ạ",1
Anh ơi cho em hỏi em mua đt 16prm check ra 1978 sử dụng tháng 4 năm 2025 sạc 70 lần pin 100 nhưng tại sao lại hết bảo hành trong khi chưa đủ 12 tháng vậy anh,2
"năm 2019 tôi bỏ 24 triệu ra mua iphone 11 thường. năm nay 2025 dùng vẫn mượt, pin vẫn trâu",2
Mình dùng ss note 8 dùng gần 5 năm . chỉ mỗi pin hẻo thôi chứ ko lag bao h 😂,1
thế cùng thời với con iphone 11pro max là máy nào. giờ iphone 11 pro max vẫn dùng ok đấy thôi :)),2
"T đang sai redmi note 9 pro 5 năm rồi vẫn chơi vl2 bt có lag đâu ra , thằng e nó sai ip 7pl mà còn lag hơn máy t chứ , ở đó mà nó chê androi",0
Giờ 10 máy triệu vẫn lớn 😂,2
Android muốn muợt thì cứ tầm trung cận cao cấp trở lên mà sài là ok.,0
vẫn đang dùng galaxy note 8 🤣🤣🤣,2
"Bây giờ  chip android ngày càng hỗ trợ lâu dài, càng ngày càng mạnh hơn. Iphone dc cái giao diện nên thấy mượt chứ vào sử dụng tác vụ nặng thì thấy nặng liền. Con iphone 7 giờ đóng mở app mượt sunsilk trong khi 1 số con android 4tr là lag r. Nhưng thử vào chiến game xem bik ai lag hơn",2
Nể mấy tk i phân mù lòa công nghệ nó nói câu dù adr có cao cấp đến đâu cx k dùng k bằng i phân😂,2
"Còn 1 lý do nửa ko thấy anh Dương nói nhỉ ? Android nó là hệ điều hành mở , mã nguồn mở nên nhiều app không thiết kế tối ưu, dễ bị xung đột do đó nên càng lâu nó sẽ càng yếu do tích tụ nhiều rác. Ít cập nhật, phần cứng tối ưu vs phần mềm chưa tốt
Iphone thì hệ điều hành khép kín nên mọi thứ nó tối ưu sẵn rồi có thế bạ vô mà xài thôi, không phải nghĩ 😅 Nó tối ưu tốt vs phần cứng, nó quản lý ứng dụng nạp vào tốt, it rác và không bị phân mãnh",2
Em dùng con s10lite 5 năm nay r chs genshin st trung vẫn mượt đét😂😂,2
"Chà, có lẽ mn nên xem các loại điện thoại cùng giá để so sánh. Cần tìm hiểu cả tính tích cực và tiêu cực của từng dòng điện thoại. Hãng điện thoại giá rẻ thì trung quốc có nhiều nhưng độ bền thì không biết. vì đôi khi cấu hình không chính xác so với thông số nó đưa ra. Còn hãng cao cấp thì có Mỹ, Trung Quốc, Nhật,… đều có hãng cả. Nói chung nếu có tiền thì mua điện thoại iphone là đảm bảo cả tính năng lẫn bảo mật, trừ pin ra. Còn mua rẻ thì mình cũng mua 1 con moto g power 5g 2024 (Mỹ) bản like new có 2,4 tri thôi. Dùng vẫn tốt, thông báo vẫn nhận kịp thời, có chế độ nền riêng, tối ưu tốt",2
Đơn giản là Tàu nó dư sức sản xuất những chiếc điện thoại có khi còn ngon hơn iphone nhiều. Nhưng nếu với cái mức giá vài chục củ như iphone thì doanh số của nó bán đc cho bao nhiêu người. Như nhiều thanh niên nói mình mua con xiaomi 15 Ultra là phí và dư tiền nhưng khi đã dùng đi mới thấy cái chất lượng như thế nào....!,0
"Cần gì so con andoid 20 củ. Mình mua cũ con LG Velvet có gần 6 củ dùng gần 4 năm rồi vẫn mượt mà mát mẻ, máy trần làm rơi không xi nhê. Trong khi con ip trước đó mua mới 20 củ được 6 tháng lỗi sạc phải bảo hành, 12 tháng ra đi do làm rơi dù đeo ốp chống sốc đàng hoàng. Mà 20 củ 5 năm trước nó gấp mấy lần 1 chỉ vàng. Cảm thấy quá phí phạm khi mua ip.",0
T dùng lg g8 mua có 2tr chip 855 còn chiến game ngon hơn 11 nhiều..IP cập nhật iOS càng lên càng nóng và tụt độ sáng,0
"thời điểm hiện tại mua xiaomi 13 pro cũ còn hợp lý không ạ, a tư vấn cho em thêm vài con cung tầm giá cam đẹp với hiệu năng tương tự với ạ",2
"Android 3.5 triệu sài 5 năm chưa hư, máy vẫn mượt mà, nuột nà, sài con Nokia 6.1 plus tới giờ chưa hỏng hóc, mới chỉ thay pin 1 lần😂😂😂",2
"Trước đây cả nhà mình toàn xài android giá máy mới tầm 5-10tr, từ khi mình chuyển qua xài iphone máy cũ cũng tầm giá đó thì ko quay lại android nữa, và cả nhà mình cũng đã chuyển sang xài ip hết, đồng ý là android flaship sẽ khác, sẽ mạnh, sẽ bền ko lag nhưng với tầm giá dưới 10tr thì iphone máy cũ vẫn rất mượt còn android tầm đó thì máy mới ko có cửa, còn máy cũ thì càng ko nên mua android vì theo mình thấy tuổi đời tầm 5 năm chở lên thì ip vẫn còn mượt, adroid thì xem như bỏ, mình đã từng mua 1 con android máy cũ flaship dưới 5 năm về xài 2 năm là ko chạy nổi 😂",0
"Riêng tôi thì thấy ai có tiền thích mua gì thì mua đấy theo sở thích , không hiểu sao mọi người cứ sân si rồi áp đặt cái sở thích của mình lên người khác , trong khi sở thích khác nhau mà tiền thì cũng của riêng , ví dụ cho người khác tiền mua thì hẵng nói nhau chứ đây vẫn sân si nhau được , có phải là hơi quá k",2
"Tào lao thật, review con đến điện thoại nào cũng nói là của mình đang dùng, Bó tay ông dương dê",0
Xài 1820 đc 6 năm mà vẫn xài đc nhưng lướt fb yt hay chiến mấy game như ff lq cx ổn,1
Noi chung là bạn là người dùng phổ thông bạn xài iPhone còn bạn thích mới lạ thích công nghệ đi trước thì bạn chọn android thế cho nhanh,0
"Tui mua con rog6 chính hãng hồi đó hơn 20tr bản xịn nhất, từ 2023 đến giờ nhưng tui tự tin con đt mình xét về loa, màn hình và chơi game thì mấy con 16-17 chưa đủ tuổi nói chuyện, thua ip mỗi cái camera",0
Có mấy ông đem con android rẻ tiền tầm 7-8 triệu mà đi so vs con iPhone mấy chục triệu rồi kiêu android lag hơn thế thì cx chịu luôn thử so mấy con android ngang giá đi có khi iPhone cũng không có tuổi,0
Sony dùng lành thì 1m2,1
"Câu hỏi đầu tiên là điêu nhất từ trước tới giờ, mà ông dương bảo đúng 😂",2
"Trộm vía, e dùng con redmi note 9 được 5 năm rồi mà vẫn rất ok ạ. Mà có 4 triệu thôi ạ.",2
Đang sài k70 pro k có j để chê,2
"android cũng android this android that :))) dùng Samsung thì k có gì để chê luôn, còn mấy quả máy tàu thì khó nói, chậm thông báo chưa nói, xài lâu thực sự cũng lag thật. Nói chung điện thoại mà cao cấp thì 1 iPhone 2 Samsung chứ dòng Xiaomi con 17 pro max thấy có report xài đc vài ngày bị đơ màn lỗi cam, con huwei gập 3 để lâu ko xài bị lỗi giọt mực, nói chung là tụi máy tàu tụi nó muốn chạy đua lợi nhuận với thời gian nghiên cứu ngắn và xuất phát điểm sau các hãng cũ, kiểu gì cũng sẽ có lỗi thôi. máy tầm trung thì lại ngon, lỗi hỏng thì vứt mua máy mới là được. máy tầm cao thì rủi ro",0
4 5tr giờ hốt dc 8gen r,2
Mấy con cao cấp adroi thì chiến chục năm vẫn cứ gọi là oke do mấy ông sài androi giá rẻ xong quoàng sang chê mấy con androi đắt tiền ko hiểu thế sao iphone đắt tiền lại không chê đi,2
"Thật sự IP chả có cửa so với android đâu, toàn mấy bà thím + tụi con gái biết mẹ gì đâu cứ bị nó dắt nghĩ ip là sang là xịn. Chắc cả đời chưa cầm nổi con android cao cấp 😂😂😂 So sánh cam củng dung lượng hiệu năng android đều hơn hẳn trong tầm giá cả, ip hơn cái là hệ sinh thái và độ bền của nó đấy. Nhưng thử đặt một câu hỏi, giữa hàng loạt mẫu mã mới ra mắt, cái độ bền đấy của ip có xài được chăng? Khi mà người người đổ xô nhau mua loại mới, hàng mới ra? Thật sự cái ip thắng android chỉ có mỗi 2 cái đấy thôi. Nhưng lại tự bóp chính mình vì lũ lượt ra đống đời mới, mà tâm lý người xài ip thì ae hiểu rồi cần gì bàn luận nhiều, thành ra chả có gì hơn android cả",0
iPhone chì làm YouTube đẹp..,2
Sony nóng thôi rồi ra dường nóng quá còn k mở bank lên dk,0
"Bỏ cái suy nghĩ cứ phải iphone mới bền đi
Đi đem 1 con máy 2tr so vs 1 con máy 20 triệu thì nói làm gì
Nói thẳng luôn, con 11 pro max đem so với con one plus ace 3v mà tôi đg dùng nó gần như thua về mọi mặt từ cam, bộ nhớ, sạc, pin, cấu hình 2 con xêm xêm nhau chứ chả con nào hơn con nào mà trong khi đấy con 1+ ace 3v của tôi có hơn 6 triệu trong khi con iphone 11 giờ mua ít cũng phải trên 7 triệu",0
"Chuẩn luôn này! Giá iphone lúc nào cũng dạng cao cấp và tụt giá nhanh, còn android có những con xuất phát điểm 2 3tr nên so sánh phải so sánh ngang bằng! chuẩn chuẩn đấy",2
"sao không so sánh iphone 11 với samsung A33 nè, chơi cùng 1 game tam quốc huyễn tưỡng đại lục , iphone 11 lag, mà lag kinh, còn hơn samsung A33 5g còn thua thằng A16 5g nữa ấy, đang sài nên biết đây, so vậy đi ha😆",0
ip 30tr phải so với s26 ultra,2
Đơn giản chơi liên quân múa con nak 60fps trên ip nó vẫn khác múa con nak 120fps trên adr.,1
"đang dùng oppo find x8p luôn, 4 5 năm nữa vẫn vô tư",2
Với mình iphone hợp để giải trí cơ bản lướt web ngân hàng bảo mật còn xác định chơi game nặng thì dùng android đời cao còn về vấn đề iphone mượt vào app nhanh thì đúng nhưng có tác dụng gì ko khi vào app nhanh nhưng dùng một lúc thì văng ra ngoài máy nhanh nóng,1
rd 12turbo dùng 3 năm r đánh game vẫn maxsetting chx thấy dấu hiệu lag 🐸,2
"Vẫn đang xem video bằng con iphone SE 2016. Giá giờ mua chắc nó khoảng hơn 1tr. Và t vẫn dùng nó làm máy chính@. Tất nhiên một số ứng dụng không còn hỗ trợ ios dưới 16 thì không tải được. Nhưng cơ bản vẫn đáp ứng được. Thiết nghĩ với android thì không có con nào dùng ổn với tầm giá đấy được lâu thế.
Còn cận cao cấp thì không rõ.",1
Còn đang sài s8 vẫn ngon lành mượt mà,2
"Nói thật chứ , từng là hệ sinh thái xiaomi mua từ đt xiaomi tầm trung đến flagship kể cả đồ gia dụng và điện tử và từng anti apple , nhưng một tg xài xiaomi mi8 k bt do độ bền tg andr kém đi hay hđh lỏd nên máy lag đa nhiệm k mượt đôi khi xem ytb còn bị outapp nào xài đến tháng 6 2022 là phải đổi rồi xuống cấp thử 8 plus từ đó ưng luôn phải công nhận quá giỏi về tối ưu animation   , bù tí lên xr xài 3 năm liền vẫn ngon ít lag , sau này hiểu sai quá nhiều về đồ apple phải công nhận apple nhiều ng mua v giá trị thương hiệu cao như vậy",2
"còn dùng s9 mỹ dùng  cơ bản vẫn thấy  ok mà,, thỉnh thoảng  làm 3 hoặc 4 trận liên Quân, vẫn  chơi dc ok",1
"thật sự nếu dùng flagship cao cấp của androi rồi thì cho không iphone để làm máy chính thì phải cân nhắc đấy, thậm chí chê luôn. Chả thua thiệt gì iphone thậm chí nhiều thứ quá vượt trội về pin, sạc, tiện ích, độ cập nhật công nghệ, ... mà giá chỉ bằng 1 nửa với 1/3 so với iphone. Hài cái là ifan thì hay lấy mấy con hàng thấp, trung cấp vài triệu của androi ra rồi quy chụp bảo máy androi giật lag, tã, ... thì cũng đến hài",2
tắt hết hoạt ảnh đi hết lag,0
ip chơi game cùng đồ hoạ nóng lag vãii,0
Tui sài redmi not 8 pro vẫn mượt đây,2
a Dương nói đúng mấy thánh nói androi lag thì toàn dùng mấy con giá rẻ k thử sài dòng cao đi r thấy lag k 😄😄😄😄😄😄😄😄,2
Thằng em trai mình sài con s21+ tới giờ cũng còn đánh LQ ầm ầm nè,2
"Nói chung ai sợ mất điện thoại, IPhone bảo mật cao, ai làm mạng xã hội quay video thì nên dùng IPhone. Chứ mình có ông bạn chạy grab giống mình bình thường thì dùng androi đi đâu tiệc gì đó thì mới mang IPhone, IPhone ông bọc kỹ lắm, mình thấy lãng phí. Chạy Grab nên chạy Sam và Oppo, IPhone phí quá. Mình có con Xiaomi 10s dùng tới giờ vẫn ngon, nhưng chạy Grab ko dc trời nắng nó lag . Mình thấy anh em chạy Grab thường chọn Samsung với Oppo. Mình thấy sài đơn giản sài đt thoại tàu là ngon nhất pin trâu, sạc nhanh, phụ kiện đầy đủ hơn, có máy còn tặng ốp lưng.",0
sài iphone riết quen luôn rồi,2
E vẫn xài con poco x4 Gt từ 2022-2025 vẫn chiến Pubg vẫn bình thường 😂 mỗi tội không được màn AMOLED như các dòng cao khác poco x4 Gt giá 7tr6 cellphones,2
"Kênh anh Dương Dê thực sự là rất bổ ích, không chỉ cung cấp nhiều thông tin về sản phẩm cho người sử dụng mà còn giúp cho người bán hàng học hỏi được tư vấn",2
Mấy con huawei chẳng hiểu sao ngon v,0
Nếu mà huawei đang còn như lúc hoàng kim thì mình sẵn sàng bỏ iphone để mua Huawei để dùng 3:16,2
Điển hình như sony 1m2 với ip11prm của tôi hiện tại nghe thì nói thì sony bóp nhưng đối với người chơi game hệ cày cuốc như mình thì mình thấy sony 1m2 hơn hẳn khi chơi tryhart cày nhiều giờ vơi cấu hình all cực cao/60fps thì sony nó mượt mát hơn. 11prm thì cũng ok như 15 phút sau nóng và tung chảo liền .. giờ 11prm tôi chỉ dung nghe gọi game thì 1m2 nhưng pin hơi hẹo,2
"Quan điểm của mình là mua điện thoại hay máy tính của hãng nào không quan trọng, cứ hàng top đầu của hãng mà dùng thì chẳng phải lo vấn đề gì trong 5 năm",1
"Bởi vậy tôi hay đấm thẳng vào mặt fan iPhone và fan iPhone thường hay né tránh hoặc lấp liếm đánh sang chủ đề khác đó là giá cả , thậm chí có fan iPhone còn nói giá tiền không quan trọng nữa chứ",0
Năm 2021 mua Xiaomi 10t pro giá 13tr sử dụng đến giờ vẫn mượt mà,2
Sony cũng chỉ là tên hãng thôi. Chứ điện thoại sony cũng giống những đt android khác thôi,1
"Ip cho những người thích dùng lâu dài, ổn áp hiệu năng, còn android cho những những người thích thay máy  trong vòng 2 năm thay máy.",1
Có ai lấy Android 3tr đến 4tr ra để so với ai phone đâu mà phải bảo cau này phải suy ngẫm cau hỏi vo van,0
Cháu dùng ss a16 5g giờ vẫn thoải mái,2
Anh đánh giá thế nào về ss s25 fe ạ . Chúc a nhiều sức khỏe . Mong a rep,2
Nếu android lag đó bộ nhớ,0
E thì đang sài ss a24 đây anh vẫn mượt,2
Toàn mấy thằng chưa sài hàng cao cấp của android toàn phán. Note 10+ sài 7 năm sài vẫn khỏe.,2
"Mua mấy con android chưa tới 10tr rồi so với con iphone 20tr,30tr hồi mới ra😂",2
"Mới hôm ngày 21 mình đi mua con vivo y04 2tr790 máy chính, chủ yếu lướt ytb fb nhắn tin nên ko mua đắt tiền, và cũng chưa đủ tài chính mua máy dat tiền",1
"Có rất nhiều video tuyệt vời, chỉ có ở PureTuber #PureTuber",2
"Đang sài sony 1m2 đây. Mua cũ đầu 2022 giá 5 củ, cùng mua ip13 hồng cho vk lúc đó gần 20 củ. Dùng phà phà đến giờ ko game thấy 1m2 của mình chưa gặp vấn đề j. Ip13 của vk đã thay pin 1 lần, dạo này mic hơi kém, đàm thoại ko đc tốt lắm. Đấy! Đừng so androi giá rẻ vs ip. Thực tế từ mình thấy như vậy. Do phân khúc thôi.",2
"lý do Android bị nói lag và giật hơn iPhone là do ifan mõm, iphone ko có tuổi để so vs flapship android nên bọn ifan nguu nó mới lấy andr giá rẻ để so chứ dòng android xịn thì ko thể, công nhận ifan hài thật, moẹ iphone cả 30 củ chỉ có 1 cam nên chỉ so đc vs giá rẻ, mà công nhận ifan toàn bọn nguu công nghệ🤣😂🤣",0
"Giải thích cho bọn ngu thì như nước đổ lá môn, kệ cộng đồng tụi nó đi 😆😆😆",0
"Sắp 2026 nhưng Oppo findx5 vẫn được update ColorOS 16, đt ra mắt năm 2019 vậy là cũng 7 năm r.",2
2-3tr mua anroi mà mới đập hộp nó lamg thôi rồi mua về đập đá hay gì,0
trên mạng thì cmt toàn khen android nhưng ra đường thì toàn thấy xài iphone. Chắc là toàn mấy con bot auto comment lấy kpi.,0
"mình dùng 12turbo ,2năm trước mua 6tr lúc đấy bằng tiền với XSM, lúc đó khá phân vân,  nhưng giờ dùng vẫn mượt thấy lựa chọn của mình đúng",2
Mấy ông live game toàn dùng iphone 99.9%,2
Realme x2 pro 2019 855+ vẫn mượt game bét nhòe 😊,2
😋,2
Con Huawei meta 10 giờ vẫn mượt là đủ hiểu 😂,2
"Hôm nọ chủ lô nó cướp mất cây ip14, rồi hôm sau nó trả lại, mình quyết định mua cây oppo reno 12pro. Tối xem xiếc xong quên ko sạc, hết pin. Sáng dậy đi ỉa rặn được nửa cục cứt mà nó đã sạc được 50% pin. Xem phim nét nèn nẹt từng sợi lông, phê quá. Từ đó mình ko chơi với táo nữa. 😂😂😂😂",2
Anh này phân tích nói chuyện hay! ❤,2
"Mình đã từng dùng cả ip và sam (dòng note và s), nếu so sánh độ mượt của những máy mình dùng thì gần như ko khác biệt, trong khi đó máy Sam có rất nhiều tính năng  vượt trội hơn ip rất nhiều, ko hiểu sao mọi ngưòi cứ ""vơ đũa"" là android giật lag rồi so sánh với ip 😅 Cái bút spen là điểm mình cảm thấy ko thể thiếu trên điện thoại",2
Còn 1 lý do nhiều người thích iPhone là do khi hỏng linh kiện nó dễ thay và khá rẻ so với các hãng cùng giá,0
7plus chơi game ngày 6 tiếng đều vừa sạc vừa chơi chỉ thay mỗi pin chứ vẫn mượt,2
Oppo k3 dùng từ 2019 đến 2025  chơi game vẫn mượt mỗi cái là pin nó yếu quá,1
Vì  i phone   bán lời nhiều   nên nhà sản suất cải tiến ra mới,1
"IP KHÁC NÀO CON CƯNG. CON 1 ĐÂU....
ANDRÒID THÌ Đẻ ĐÀN. Đẻ ĐốNG. CÁI ĐC CÁI KHÔNG...NÓI CHUNG XÀI ANDROI MUA TỪ TẦM TRUNG LÊN CAO CẤP. CHỨ MÁYGIÁ RẺ NÓ CÙI LẮM....",0
