tokenized,sentiment
nghe đâu sạc không dây là không tốt cho pin bằng sạc thủ công phải không nhĩ,1
pin iphone là cả vấn đề,2
để bg ra iphone thì mua nghèo chỉ biết ước,0
sài nóng như cái lò thiêu với cái nhiệt độ hiện tại nha,0
trieu mua g mới hay mua plus cũ vậy ae,2
vừa mua xong luôn,2
sang năm xài iphone còn hợp lý không mọi người,2
mua đth cũ ở chỗ nào hà nội uy tín ạ anh em phân vân và prm,1
nhà anh dương đẹp quá mình đang xem trên iphone luôn đây,2
iphone thời điểm này like new pin tr giá như vậy có oke không vậy cả nhà ơi,2
dùng iphone màu hồng là không thấy dấu vân tay luôn ấy đeo thêm ốp cao su mềm nữa thì hết cấn tay luôn cầm vào rất đầm tay và kiêu sa,2
sài được tháng tụt pin nhanh lắm mấy bác ơi,0
hình như iphone các dòng có số lẻ dùng ít bị lỗi hơn các dòng số chẵn thì phải,0
tải phan tram pin về là có nhé,1
cùng tr hiện tại chọn prx hay anh em,2
iphone màn lcd nhưng pin trâu iphone màn oled nhưng pin hẻo iphone hoàn hảo nhất pin trâu màn đẹp thêm quả cam chéo,2
ảnh selfi rất đẹp hài lòng với con này luôn,2
em đang phân vân iphone với sultra thì như thế nào ạ,1
anh điện thoại mini bn tiên chiêc zây anh gia bn zây anh,2
iphone camera có chụp được góc rộng không nhỉ,1
chừng nào iphone còn triệu em quất liền giờ cũng có tiền dư mà bỏ zô họng hết rùi kaka,2
cứ đợi hết năm fix hết lỗi phần mềm và cứng thì dùng mới oke được gần như một năm các dòng máy mới lộ ra hết lỗi thì lúc đó giá xuống lại ngon xác định mục đích mình nên mua hay không càng tiện lợi càng nhiều lỗi vì quá nhiều linh kiện như nokia nghe gọi thôi thì bền vĩnh cửu sau đó nên dòng vào mạng máy tuổi thọ lại thấp sau đó chạy theo camera cảm biến càng lỗi pin sạc nhanh vân tay vậy cảm nhận cá nhân anh em thông cảm,0
anh ơi cho em hỏi con iphone của em khi chụp ảnh thì nhìn ảnh bình thường nhừ khi vào xem ảnh trong bộ sưu tập thì ảnh lại xuống màu độ không biết cps phải máy của em lỗi camera không ạ cảm ơn anh ạ,2
iphone đối với mình thì nó rất là đỉnh cao nha mình xài qua nhiều đời điện thoại lắm rồi,2
máy em tróc sơn buồn ghê,0
điện thoại hàng chục triệu đến vài chục triệu lại bị cắt giảm không có tai phone thu nghĩ moi người không xài thử iphone nữa xem làm sao coi ban cho ainhư vậy nếu người tiêu dùng muốn mua tai phone theo may thì lại có bán chả hiểu nổi,0
điện thoại hàng chục triệu đến vài chục triệu lại bị cắt giảm không có tai phone thu nghĩ moi người không xài thử iphone nữa xem làm sao coi ban cho ainhư vậy nếu người tiêu dùng muốn mua tai phone theo may thì lại có bán chả hiểu nổi,0
mình dùng iphone chụp khoảng cách tầm cm tới vật chụp thì không lấy nét được có phải iphone đều như vậy không,0
đi ra trộm điện thoại phone ta con nhanh,0
tụi nó nói bảo vệ môi trường mà phải tốn thêm tiền mua cái sạc thêm cái hộp thêm cái bao đúng là ngụy biện,0
anh cho em hỏi lên mua pro max hay mua pro anh,2
con anh dương đẹp trai hơn anh dương nha không,2
pro max vô địch rồi,2
iphone mình thấy thiết kế hài hoà camera chéo nhìn rất cá tính cảm ơn anh dương,2
nên mua prm hay vậy mọi người em là con gái không chơi game,1
iphone không có hiển thị pin hả mọi người,0
mình mới mua iphone mà gõ vào màn hình nghe bộp bộp như rỗng không chắc chắn các điện thoại khác không bị vậy không biết có phải lỗi không anh có ai bị vậy không,0
cho em hỏi cái ai biết đồng hồ của anh dương không ạ nhìn đẹp ghê,2
nhà đẹp quá,2
có bác nào xài iphone bị kiểu không nhận g khi đăng ký gói mạng không nhỉ mỗi khi đăng ký gói g là em phải restart máy mới thấy nhận g em xài mobi,2
camera vẫn bị kênh ở mặt sau,0
anh ơi cho em hỏi sao iphone em lên ios thì lang bắt wifi kém hơn hẳn có ai như em không ạ,2
anh cho em hỏi bây giờ lựa chọn giữa iphone prm hoặc thường hay pro máy nào sẽ ngon hơn vậy anh,2
mấy bạn dùng iphone rồi cho mình hỏi chút ạ cam trước của iphone có oke không mọi người tại mình thấy có mấy bạn bảo ảnh cam trc chụp bị xấu vì nó láy rõ nét quá nhìn giả trân,2
ai cho mình cảm nhận tần số quét iphone so với iphone pro với ạ chênh lệch nhiều không ạ em thì em mê iphone nhưng em thấy pro hz em phân vân,0
iphone mà pin mah thì quá đỉnh,2
có thể dùng cục sạc ipad pro để sạc cho iphone được không ạ có gây chai pin cho iphone không vì mình thấy sạc lên khá nhanh,2
trong hình vuông đường chéo là đường dài nhất haha cười chết mất,2
nếu để hiển thị phần trăm pin thì chỗ nào để hiển thị wifiphần vạch sóng khi kích hoạt esim sẽ to hơn,1
mình mua iphone màu hồng phải nói là siêu xinh luôn màu hồng ngọt ngào làm gục ngã bất kì chị em nào cầm gọn nhẹ nữ xài oke máy mượt mình không hiểu công nghệ vì mục đích sử dụng là nhắn tin gọi điện coi vài video và sử dụng camera sống ảo thôi ngày vẫn chưa hết pin các bạn khác xài không biết thế nào nhưng đối với mình hài lòng lắm nhé ai có nhu cầu tương tự mình xài oke,2
cái tóm lại ở video này là ông bố thì xấu vài nhưng bù lại ông con rất đẹp trai và phúc hậu chứ không dê xồm như ông bố à còn một điều nữa chứng tỏ bà vợ rất xinh gái,2
mọi người cho hỏi iphone có sim vậy esim dùng có bất tiện không hay coi như bình thường thôi ạ,2
sao emua iphone dùng được tháng mà dung lượng pin còn nhỷ em không chơi điện thoại cũng ít khi vừa sạc vừa chơi á,0
thứ nhất là hộp phụ kiện cho cũng như không,0
test độ chống nước đi anh,2
iphone mặc định ios chấm mấy z mọi người,2
bạn tắt cái nhạc nền đi nghe chói tai,0
bác xấu mà sao con bác đẹp zao thế,0
hicho em hỏi iphone gb quốc tế đập hộp giá ke có nên mua không ạxin mọi người ai có biêt rành thì cho em xin ý kiếne không rành về iphone ạe cám on ạ,2
có ai xài bị tróc sơn không,0
anh rivew iphone màu mới đi anh,2
zflip với iphone thì nên mua nào ạ nhờ anh tư vấn giúp em ạ em cảm ơn anh nhiều ạ,2
đang phân vân có nên đổi từ prm lên không mọi người cho ý kiến với,1
bữa nay không chê nữa hả anh,2
ông này nhà điều kiện thật,2
iphone mới mua dùng được khoảng ngày và phát hiện để điện thoại ở mức pin rồi mà sáng thức dậy mới phát hiện hao hụt khoảng pin là sao thế chú dương nhờ có oải điện thoại cháu nó có vấn đề gì rồi không lần đầu cháu dùng iphone nên chưa rỏ mong ảe chia sẻ ít kinh nghiệm cho mình học hỏi với ạ,0
anh ơi cho em hỏi iphone em mới mua tháng hơn mà dung lượng pin tụt rồi ạ có bị gi không ạ,2
không có ghi âm cuộc gọi nên không quan tâm,0
anh cho em hỏi em định mua iphone ở vietel mà có ưu đãi giá khi mua thêm gói với thì có bị ảnh hưởng hiệu năngkiểu máy nhà mạng không thanks anh,2
lên được cái ram g luôn thì ngon biết mấy,2
đừng nói tz dương dê à,0
dùng samsung năm sang dùng iphone thườngtrải nghiệm quá là tuyệt vời,2
lúc chọn giữa prm gb tr mà cũ em lên luôn mới cho vk yk chang anh trai,2
hz với hz thì lquan gì đến đẹp hay xấu thế ae,1
màu xanh đen này quá đỉnh anh ơi,2
có bác nào dùng iphone mà bàn phím nó đơ không ạ,0
anh dương ơi anh cho em hỏi em mới mua iphone mà tối giờ em tắt không sài nữa tới sáng tụt vậy pin có vấn đề gì không vậy anh mong anh phản hồi giúp em,2
từ lên thấy mỗi thứ nó hơn tí riêng thời gian sử dụng thấy hơn hẳn ngày dùng facebook zl msg diu tu bi gọi điện đến tối vẫn còn khoảng x pin thì pin auto đỏ như chị em đến ngày,2
mình đã phân vân giữa prm và và cuối cùng chọn prm quá hợp lý,2
ơ bác ở tòa vậy à hàng xóm rồi d,0
anh dương dê ơi anh làm bài test ipro đi anh em chứ thấy ai làm video ạ chú anh một ngày mới tốt lành em liker và đăng ký kêt rồi ạ,0
con anh dương giống anh thật sự,2
iphone pro max tren calphone s hết hàng bùn ghê,0
giữa prm củ với iphone nên mua máy nào,1
tầm hơn trieu chọn xsmax hay pro ạ mong anh tư vấn em cảm ơn,1
anh ơi khung viên prm thì có sợ xước khi không dùng ốp không ạ,2
vỏ nhôm tản nhiệt là tốt nhất cũng không sợ bể kính ước gì aple sx bản iphone không cần sạc không dây để đưa vỏ nhôm quay trở lại,2
em chào anh ạ anh ơi iphone của em từ pin nếu cắm sạc thì sẽ là hp là đầy còn nếu báo pin yếu tức là nếu sạc từ lên thì hp mới đầy lý do của nó là gì ạ mong anh trả lời em cảm ơn anh,2
mình có thắc mắc mình có đọc thông số và có search trên g trang nước ngoài cũng bảo là iphone và mini đều có zom quang học x nhưng sao mấy reviewer đơn cử là anh dương dê lại bảo không có zom quang chỉ zom số mong nhận được thông tin chính xác từ kênh và các bạn,0
nói thật nếu ai muốn khỏe mẽ hoặc vì lí do gì đó kinh doanh thì hãy mua iphone chứ thề con này xài thua android quá nhiều,0
đang xài prm có nên lên prm không ae nhỉ có nhiều khác biệt lắm không,1
bao nhiêu tiên may iphone vay anh dương em ơ ha nội muốn mua may thi đên địa chỉ nao ạ,2
anh ơi em định mua không gaming thì không biết hiệu năng đủ để chơi game ổn trong đến năm tới không vậy anh em chủ yếu chơi liên quân và pubgmobi dạ chúc anh thật nhiều sức khỏe,2
trong hình vuông đường chéo là đường dài nhất lạy thánh review,1
giá có chiếc điện thoại kiểu cục gạch mà cài được zalo nhỉ em chỉ cần mỗi zalo để phục vụ công việc có g volte để nghe gọi rõ em muốn bỏ dùng smartphone cho đỡ lãng phí thời gian anh tư vấn giúp em được không em xin cảm ơn,0
chắc anh thuộc tầng lớp trung lưu rồinhà ở chung cư cao cấp quá,0
nhà anh dương đẹp quá,2
ct the pride hải phát xin chào anh ạ xem đến đoạn anh zom sang toà của em mà giật mình luôn,2
iphone mới mua nhưng để qua đêm phát hiện bị mất pin mặc dù đã đóng hết ứng dụng và tắt kết nối internet thì có phải điện thoại có vấn đề kh anh dương em lần đầu dùng iphone nên kh rõ chúc anh và gia đình dồi dào sức khỏe,0
màn oled mặc nhiên là hz chẵng qua aple họ giới hạn lại là hz flker aple,0
tui sẵn sàng bỏ ra triệu mua ipad nhưng chỉ cần triệu mua phone thôi vì giải trí trên ipad sướng hơn phone thì hơn được cái nghe gọi và số tựa game thôi hãy chi tiêu hợp lý,0
em mong anh làm một cái video về pipifier vì em tải về làm theo mà không được trên iphone toàn bị tắt màn đi thôi,0
anh dương cho em hỏi em mua iphone chụp ảnh camera sau thì báo mp chụp ảnh camera trước thì ảnh báo có mp là sao anh mong anh rep em cám ơn,2
anh ơi cho em hỏi là em đang dùng poco x pro em hiện tại đang muốn đổi lên con không gaming hoặc realme gt neo không biết là với mức chênh lệch khoảng triệu thì số tiền bỏ ra có xứng đáng không em thì chú trọng vào cấu hình và thiết kế anh cho em lời khuyên với ạ,2
iphone thu hay hơn cả mic rode anh ạ mốt anh lấy iphone thu âm đi anh,2
anh dương chả biết bảo vệ môi trường gì cả lại chê rồi đủ chưa anh,0
chu ơi vmart joy còn tốt chú choi game tốt mượt,2
bán g pixel không lỗi lầm tặng ốp dán pf m khu vực hà nam,2
anh review opo anh đi ạ em mua tại điện máy xanh,2
anh dương ơi cho em con ai phôn đi anh,2
nhà anh dương đẹp quá,2
cho em hỏi gio mua pro dùng oke không ạ,2
samsung galaxy as g có dùng sạc không dây được không ạ cháu cảm ơn ạ,2
anh ơi cho em hỏi là iphone pin có chênh quá nhiều so với iphone không,2
anh dương ơi em đang dùng iphone màu đen gb rất ưng anh ạ mỗi tội màu đen nó tối ạ,2
cam ca dong tien trong long ban taykaka,2
anh ơi cho em hỏi trong tầm giá hơn tr có con nào nhỉnh hơn realme gt neo không ạ mong anh tư vấn em cảm ơn anh nhiều,2
anh ơi cho em hỏi nên mua bphone anh hay realme qi ạ em phân vân không bình thường chọn con nào,2
anh cho em hỏi pro max màn bị chấm mực ngòi bút bi ở góc giá tr hơn có nên mua không ạ và liệu nó có bị loang không ai em xin cảm ơn chúc anh sức khoẻ,2
chú sạc bằng sạc nào mà nhanh vậy ạ cháu sạc cũng từ nhưng mất giờ phút mới đầy ạ,2
chú dương tư vấn giúp cháu một chiếc máy giá tầm tr hiệu năng càng cao càng tốt thiết kế đục lỗ cháu không chơi game nặng chỉ chơi ván liên quân chủ yếu là mạng xã hội pin và sạc không quan trọng lắm camera chụp ổn vì cháu hay chụp bài tập cháu dùng từ năm cháu cảm ơn,0
anh có khen bằng zời em cũng không thừa tiền mua nhé,2
ở đây ai rành về các loại máy cho mình hỏi với ạ máy nào triệu mà chơi game mượt với pin trâu không ạ mong ai đó góp ý cho em,2
với em thì vấn đề sạc là vấn đề duy nhất em không ưng ý,1
trieu cho mini cũ mua được không mọi người,1
iphone thì không nói rồi nhiều cái cơ bản là rất tốt mỗi giá căng thôi,1
iphone prm chưa kích hoạt m giá này ngon trong thời điểm này không anh,2
nhà đẹp thực sự,2
trời ơi nhìn nhà anh dương giàu quá chắc anh dương làm youtube vì đam mê rồi,2
anh ơi cho em hỏi chút với ạ em mới mua iphone khoảng tuần về hiệu năng thì hoàn toàn oke không có gì phải bàn cãi ạ nhưng chỉ có chút bận tậm đó là khi cắm sạc thì máy nóng lên khá là nhiều anh ạ hiện tại em đang dùng ốp silicon chính hãng của aple ốp này khi lắp vào máy thì màn hình sẽ có animation đổi màu theo màu của ốp khá đẹp mắt và củ sạc w cả thứ này em đều đặt trên aple store em không có dụng cụ gì để đo nhiệt độ nhưng cảm nhận được máy khá nóng anh ạ ban đầu em nghi là do đeo ốp nên bị nóng máy khi sạc nhưng khi em tháo ốp ra thì máy vẫn không hạ nhiệt khi sạc thì em đặt máy lên mặt bàn phẳng và bàn lằm bằng gỗ nên không sợ bị tích nhiệt khi sạc sau khi sạc được khoảng tầm đổ ra thì máy bắt đầu hạ nhiệt và khoảng cuối cùng thì hoàn toàn mát mẻ anh ạ trong quá trình sử dụng máy cũng không có hiện tượng nóng lên đột ngột thậm chí em ngủ quên khi xem stream trên twitch và áp máy xuống gối tiếng rưỡi đồng hồ mà máy chỉ hơi ấm lên chút xíu chứ không nóng lên một cách bất thường như khi sạc anh ạ anh cho em hỏi tình trạng hiện tại như của máy em có phải là bình thường không ạ có phải là do công nghệ sạc nhanh nên máy nhanh bị nóng không ạ em cảm ơn anh đã đọc chúc anh và gia đình nhiều sức khỏe ạ,2
lần đầu tiên thấy anh dương show mặt cậu quý tử,2
mình mua iphone từ tháng ở celphones thẩy ổn phết nhẹ vừa cầm xử lý tác vụ văn phòng oki mình con gái mà thích màu đen hơn màu nhìn sang,2
chú hãy nêu cảm nhận về g đi ạchúc chú nhìu sk,2
chú ơi con redmi note của cháu mua ở selphones được tuần thì loa kép phía trên không nghe được có phải do lỗi nsx không ạ cháu cắm tai nghe hàng ngày ít khi nghe nhạc bằng loa ạ,2
video dài xem x là hợp lý,2
anh dùng bộ sạc nào cho iphone ạ,1
dương mõm,0
iphone thực sự quá ngon luôn không có điểm gì để chê sao nghe thu âm trên iphone còn hay hơn mic chuyên nghiệp vậy,2
chú dương ơi chú thử so sánh redmi note s và realme q pro đi ạ camera chiếc nào đẹp hơn cháu thấy chiếc này giá khá ngang nhau mong chú rep,2
anh ơi bây giờ em có khoảng tr thì nên mua combo điện thoại s s plus hay iphone pro ipad là ipad pro m ạ em đang nghiêng về s hơn vì em không thích tai thỏ và cần sạc nhanh ngoài ra còn combo nào tốt hơn không ạ,2
anh ơi lg g với redmi anh máy nào ngon hơn vậy ạ mong anh chả lời,2
topzone nằm trên logo tgdđ là sao aethuộc tgdđ ak,0
với pro giá chênh nhau ác quá nên là hợp lý mình mua được tháng rồi và thấy hoàn toàn oke nha ae thi thoảng bỏ ốp ra cầm đã dã man nó đẹp nó vuông vắn nó phẳng,2
xem xếp dương nhiều tốn tiền lắm cứ khen làm lại phải mua giờ dùng máy luôn rồi,2
bây giờ thấy camera chéo nó độc đáo dễ phân biệt là iphone chứ mấy năm sau nhìn vào thực tế cam chéo nhìn xấu và rất củ chuối,0
anh dương cho em hỏi là con xiaomi redmi thời điểm hiện tại mua có ổn không ạ nhu cầu chủ yếu là các tác vụ bình thường lướt web học tập không chơi game chúc anh nhiều sức khỏe,2
nhà chú dương bao nhiêu m mà rộng thế ạ,2
ai ơi thời điểm hiện tại dùng iphone pro max ổn không anh,2
helo chú chúc chú một ngày vui vẻ chú cho em hỏi trong tầm giá triệu thì có chiếc điện thoại gaming nào có thể so sánh với red magic rồi ạ mong chú rep cmt,2
đang định mua thấy video này mừng quá,1
buồn của kênh nhỉcác mẫu đều có màu xịn mà ví dụ của kênh toàn màu dổm không,0
em đang phân vân chọn mua giữa iphone với iphone mini anh ơi nên chọn bên nào,1
mới đây mà th rồi,0
cho em hỏi với tình hình chiến sự tại nga và ucraina có ảnh hưởng đến kế hoạch sản xuất smart phone và giá cả có ảnh hưởng không ạ,1
anh cho em hỏi là rom g trên iphone giờ có tù túng quá không em dùng androi cũng đã gần g rồi em cảm ạ,0
iphone với s thì con nào đáng mua hơn ạ,2
mình đang có tr thì nên mua iphone hay s plus mong bạn trả lời,1
ah review tổng quát con motorola edge s đi so sánh với kg nx ạ em cảm ơn mà mong ah mạnh khỏe và thành công trong cuộc sống mong ah rep,2
lần sau anh cắt luôn nhạc nền đi,2
đặt chéo để năm sau nâng cấp camera còn có chổ,0
iphone nhận diện thương hiệu tốt kinh khủng,2
chào chú cho cháu hỏi iphone xr năm sau còn đáng mua không ạ chúc chú ngày mới tốt lành,2
chú dương ơi chúc chú sức khoẻ cho cháu hỏi tầm triệu con muốn mua điện thoại hiệu năng tốt tí mà chỉ mua ở tgd thôi ạ mong chú trả lời con ạ,2
chú dương hài hước quá ước gì chú mở tiệm bán các dòng điện thoại chính hãng,2
anh làm ipro đi anh,2
hơn tr thì iphone là lựa chọn ngon nhất rồi,2
em mới mua được tuần iphone cuối năm nay vk em nó đổi lên iphone nên nó để lại iprm em nên giữ lại con máy nào đây anh,2
p ạ,2
nga tấn công ukraine rồi anh dương biết chưa,2
tr mua gamingphone hay iphone ạ,1
cmt đầu ạ,2
cmt,2
vãi giờ lên giá luôn,0
triệu mua ngay flagship xiaomi ngon hơn,0
tr mua s không ngon hơn nhiều à,0
quan điểm của tôi điện thoại đã đi qua năm cập nhật như iphone giá bản gb ở tgdđ không đáng để mua chấp nhận được giá tầm triệu bản gb tất nhiên không ai bán giá đóvới tầm giá đến triệu tôi có s unt iphone opo fine x opo prp xiaomi t pros fe sfe hơn xa iphone mọi thứchưa nói đến hàng xách tay đó,0
review phiến diện quá,0
đù vừa mua củ rưỡi xong giờ nó ra ngon vãi vậy,2
niềng cái đẹp ghê bây,2
pin con này với pin con thường thì con nào ngon hơn,0
iphone mà còn kêu nóng điên thì cũng đến chịu cô,0
trên sp có tr,1
năm nữa tr là đẹp tui mua tui không cần cứ ra đời mới là lên đời,2
tui mới đặt trk,2
mình dùng samsung nhưng phải công nhận iphone dùng được lâu hơn androi,2
iphone không phải lựa chọn tối ưu do chip chỉ là anh trong khi iphone anh chênh khoảng tr hơn khoảng cách về chip tương đối lớn so với giá tiền em mình phân vân mãi giữa plus và cuối cùng vẫn chọn chứ không phải,0
năm trc t mua iphone đã thấy sai lầm rồi pin hẻo máy nóng cam xấu,0
x pro quật tới tấp,0
dòng kể cả pro nó bị kiểu lỗi là chụp văn bản dạng tờ anh hay nhiều chữ là nó cứ mờ mờ vòng tròn xung quanh không nét căng như trung tâm mình thử nhiều con toàn vậy,0
dưới củ có máy android gì cam selfie quay được fps hoặc mp cao xíu không mọi người,1
mua cũ chắc được plus hoặc pro max rồi pin trâu hơn tội gì hoặc có khi được plus cuc,2
trên sàn s còn có x thôi,0
có tuền hay dư tuền thì mua thôi tui giờ còn đang sài se vẫn ổn nè có sao đâu,2
chốt câu là mua iphone vì cái mác sang chảnh thôi chứ tầm tiền đó bất cứ con android của hãng nào cũng hơn về mọi mặt hết,0
cái nữa là thường chụp marco được còn thường thì không,1
pro mat rưỡi chơi pubg toc chiến cũng không nong,2
con này giờ còn đồng hạp lý,2
liệt kê ra một đống thứ thua kém rồi cuối cùng vẫn là chốt iphone,0
chỉ xứng làm máy phụ của t dùng ngân hàng chứ như chị camera thì xấu mù review xạol vãi,0
mình dùng thấy bth mà có nóng gì đâu,1
khoảng tháng trước cùng tầm tiền tôi chọn opo reno thay vì iphone đơn giản vì cùng tầm giá mà tôi được nhiều thứ hơn như pin sạc màn hình bộ nhớ ram rom kháng nước,2
phiến diện lắmthấy có vẻ là ifan rv thì phải,2
vẫn triệu sau năm không biết nên gọi là giữ giá hay giữ mặt,0
mới mua con pls cũ pin có củ ngon choét luôn,2
vãi chưởng chạy số à,0
khuyên mọi người nếu mua thì thêm xíu mua dùng ngon hơn nhiều,2
dùng s để xem video,2
khuyên thật lòng bác nào muốn mua thì mua iphone dòng pro trở lên chứ dòng thường tệ vãi đang dùng android mà sang iphone thường thì sẽ bị tiền đình khoảng tuần do cái màn hz sạc siêu chậm nóng máy khi dùng nữa khổ vãi,0
dùng pro max vna từ lúc mới ra đến bây giờ lên ios đang khá ngon mỗi tội từ lúc lắp sim vào thấy pin hẻo đi pin đang tích được triệu thì nên lên máy nào ạ đang khá lá dư,2
nếu ai xài bình thường chỉ yêu cầu ổn định lâu dài thì vẫn ngon,1
mới mua iphone vẫn đắt ful chức năng làm vãi thì quá oke nhưng chơi game thì vẫn nóng,0
tao mới mua shope ad mã giảm có triệu cách đây tháng đỏ vãi dùng thích vãi,2
giờ mua giá tốt rồi,1
theo cá nhân tôi thì đáng mua hơn đáng mua hơn vì đời càng về sau iphone có thêm càng nhiều nút vật lý làm cho máy rối rắm nhưng chả mấy khi sử dụng những nút đó,0
săn sale trên sàn s có hơn tr thôi hôm vừa múc em màu hồng nam tính có tr xài song song với samsung s màn hz chẳng thấy khó chịu gì,0
con iphone đáng mua bây giờ là và em còn lại phế vật,0
type chị trên iphone cũng được coi là type chị à,0
iphone tr thì mua iphone làm gì,2
pro nha các bạn,2
tr được cầm đặt chéo dynamic viên thuốc và cổng sạc usb typc chị màn hz chưa kể pin iphone chai nhanh nhất thế giới điện thoại triệu bỏ đi logo người dùng được lợi gì mong ifan giải đáp,0
đấm được mấy con android tàu như mi không,0
mọi người cho mình hỏi xíu là nếu mua mấy con điện thoại nội địa nhật mà đem về việt nam thì lắp sim vào có bị lock sim không ạ mình thích máy nhật vì nó rẻ mà phân vân vụ sim nên mình hỏi những người đã từng dùng máy nhật dùng sim tại việt nam có bị vấn đề gì không để mình cân nhắc kỹ để mua,2
vẫn nhớ lúc đập hộp con nay năm ngoái bị lỗi không nhận esim nhưng lúc về nhà dùng rồi mới biết may sao mang ra đổi bảo hành thì được đổi máy luôn chắc mình không dùng esim thì chắc cũng không nhận ra lỗi này đâu,0
và thua combo xu xsm hay xu se se,0
tuy xấu nhưng điện nước ngon,1
đi mua máy likenew thì được tư vấn con với thường pro cuối cùng t chọn con thường dùng ổn thì xài thêm được năm tai thỏ hay viên thuốc t không quan trọng lắm,0
tr thì cố tí thêm tr nữa lên iphone nó cứ gọi là khác bọt,2
pro thì mua chí ít nó dùng được ai,0
